,FSC,Visa Class,Issuances,source,year_month
0,Afghanistan,CR1,2,2021-January,2021-01-01
1,Afghanistan,IR1,23,2021-January,2021-01-01
2,Afghanistan,IR2,2,2021-January,2021-01-01
3,Afghanistan,SB1,3,2021-January,2021-01-01
4,Afghanistan,SI1,1,2021-January,2021-01-01
5,Afghanistan,SQ1,66,2021-January,2021-01-01
6,Afghanistan,SQ2,66,2021-January,2021-01-01
7,Afghanistan,SQ3,236,2021-January,2021-01-01
8,Albania,CR1,12,2021-January,2021-01-01
9,Albania,DV1,1,2021-January,2021-01-01
10,Albania,F41,3,2021-January,2021-01-01
11,Albania,F42,2,2021-January,2021-01-01
12,Albania,F43,4,2021-January,2021-01-01
13,Albania,FX1,1,2021-January,2021-01-01
14,Albania,IR1,17,2021-January,2021-01-01
15,Albania,IR2,3,2021-January,2021-01-01
16,Albania,IR5,15,2021-January,2021-01-01
17,Algeria,CR1,2,2021-January,2021-01-01
18,Algeria,FX1,5,2021-January,2021-01-01
19,Algeria,FX3,1,2021-January,2021-01-01
20,Algeria,IR1,17,2021-January,2021-01-01
21,Algeria,IR2,2,2021-January,2021-01-01
22,Algeria,IR5,3,2021-January,2021-01-01
23,Angola,IR1,2,2021-January,2021-01-01
24,Angola,IR2,1,2021-January,2021-01-01
25,Anguilla,IR1,1,2021-January,2021-01-01
26,Anguilla,IR2,1,2021-January,2021-01-01
27,Antigua and Barbuda,IR1,1,2021-January,2021-01-01
28,Argentina,CR1,2,2021-January,2021-01-01
29,Argentina,CR2,3,2021-January,2021-01-01
30,Argentina,IR1,9,2021-January,2021-01-01
31,Argentina,IR2,4,2021-January,2021-01-01
32,Armenia,CR1,7,2021-January,2021-01-01
33,Armenia,IR1,7,2021-January,2021-01-01
34,Armenia,IR2,4,2021-January,2021-01-01
35,Armenia,IR5,4,2021-January,2021-01-01
36,Australia,CR1,25,2021-January,2021-01-01
37,Australia,E11,1,2021-January,2021-01-01
38,Australia,FX1,1,2021-January,2021-01-01
39,Australia,IR1,18,2021-January,2021-01-01
40,Australia,IR2,2,2021-January,2021-01-01
41,Australia,SB1,1,2021-January,2021-01-01
42,Austria,CR1,1,2021-January,2021-01-01
43,Austria,CR2,1,2021-January,2021-01-01
44,Austria,IR2,1,2021-January,2021-01-01
45,Austria,SB1,1,2021-January,2021-01-01
46,Azerbaijan,CR1,2,2021-January,2021-01-01
47,Azerbaijan,IR1,1,2021-January,2021-01-01
48,"Bahamas, The",CR1,2,2021-January,2021-01-01
49,"Bahamas, The",E31,6,2021-January,2021-01-01
50,"Bahamas, The",E34,2,2021-January,2021-01-01
51,"Bahamas, The",E35,6,2021-January,2021-01-01
52,"Bahamas, The",IR1,4,2021-January,2021-01-01
53,"Bahamas, The",IR2,3,2021-January,2021-01-01
54,Bahrain,CR1,1,2021-January,2021-01-01
55,Bahrain,E35,1,2021-January,2021-01-01
56,Bahrain,IR2,1,2021-January,2021-01-01
57,Bangladesh,CR1,105,2021-January,2021-01-01
58,Bangladesh,F41,2,2021-January,2021-01-01
59,Bangladesh,F42,2,2021-January,2021-01-01
60,Bangladesh,F43,5,2021-January,2021-01-01
61,Bangladesh,FX1,1,2021-January,2021-01-01
62,Bangladesh,IR1,331,2021-January,2021-01-01
63,Bangladesh,IR2,56,2021-January,2021-01-01
64,Bangladesh,IR5,1,2021-January,2021-01-01
65,Bangladesh,SB1,1,2021-January,2021-01-01
66,Barbados,CR1,3,2021-January,2021-01-01
67,Barbados,CR2,1,2021-January,2021-01-01
68,Barbados,E34,1,2021-January,2021-01-01
69,Barbados,E35,1,2021-January,2021-01-01
70,Barbados,IR1,5,2021-January,2021-01-01
71,Barbados,IR2,1,2021-January,2021-01-01
72,Belarus,CR1,3,2021-January,2021-01-01
73,Belarus,CR2,2,2021-January,2021-01-01
74,Belarus,FX1,2,2021-January,2021-01-01
75,Belarus,FX3,1,2021-January,2021-01-01
76,Belarus,IR1,1,2021-January,2021-01-01
77,Belgium,IR1,1,2021-January,2021-01-01
78,Belize,CR1,1,2021-January,2021-01-01
79,Belize,CR2,1,2021-January,2021-01-01
80,Belize,IH4,4,2021-January,2021-01-01
81,Belize,IR1,3,2021-January,2021-01-01
82,Belize,IR2,3,2021-January,2021-01-01
83,Benin,IR1,1,2021-January,2021-01-01
84,Benin,IR2,1,2021-January,2021-01-01
85,Benin,IR5,1,2021-January,2021-01-01
86,Bermuda,CR1,2,2021-January,2021-01-01
87,Bermuda,IR1,1,2021-January,2021-01-01
88,Bermuda,IR2,3,2021-January,2021-01-01
89,Bolivia,IR1,1,2021-January,2021-01-01
90,Bosnia-Herzegovina,CR1,5,2021-January,2021-01-01
91,Bosnia-Herzegovina,IR1,1,2021-January,2021-01-01
92,Bosnia-Herzegovina,IR2,2,2021-January,2021-01-01
93,Botswana,CR1,1,2021-January,2021-01-01
94,Brazil,CR1,6,2021-January,2021-01-01
95,Brazil,CR2,2,2021-January,2021-01-01
96,Brazil,FX2,1,2021-January,2021-01-01
97,Brazil,IR1,16,2021-January,2021-01-01
98,Brazil,IR2,4,2021-January,2021-01-01
99,British Virgin Islands,IR1,1,2021-January,2021-01-01
100,Bulgaria,CR1,2,2021-January,2021-01-01
101,Bulgaria,IH3,8,2021-January,2021-01-01
102,Bulgaria,IR1,2,2021-January,2021-01-01
103,Burkina Faso,CR1,10,2021-January,2021-01-01
104,Burkina Faso,CR2,1,2021-January,2021-01-01
105,Burkina Faso,IR1,9,2021-January,2021-01-01
106,Burkina Faso,IR2,18,2021-January,2021-01-01
107,Burkina Faso,IR5,1,2021-January,2021-01-01
108,Burma,CR1,12,2021-January,2021-01-01
109,Burma,IR1,25,2021-January,2021-01-01
110,Burma,IR2,5,2021-January,2021-01-01
111,Burundi,CR1,1,2021-January,2021-01-01
112,Burundi,IH3,8,2021-January,2021-01-01
113,Cabo Verde,CR1,2,2021-January,2021-01-01
114,Cabo Verde,CR2,2,2021-January,2021-01-01
115,Cabo Verde,F25,1,2021-January,2021-01-01
116,Cabo Verde,F41,1,2021-January,2021-01-01
117,Cabo Verde,F42,1,2021-January,2021-01-01
118,Cabo Verde,F43,1,2021-January,2021-01-01
119,Cabo Verde,FX1,4,2021-January,2021-01-01
120,Cabo Verde,FX2,5,2021-January,2021-01-01
121,Cabo Verde,FX3,6,2021-January,2021-01-01
122,Cabo Verde,IR1,3,2021-January,2021-01-01
123,Cabo Verde,IR2,14,2021-January,2021-01-01
124,Cabo Verde,SB1,1,2021-January,2021-01-01
125,Cambodia,CR1,5,2021-January,2021-01-01
126,Cambodia,CR2,2,2021-January,2021-01-01
127,Cambodia,F41,1,2021-January,2021-01-01
128,Cambodia,F42,1,2021-January,2021-01-01
129,Cambodia,F43,1,2021-January,2021-01-01
130,Cambodia,IR1,12,2021-January,2021-01-01
131,Cambodia,IR2,7,2021-January,2021-01-01
132,Cameroon,CR1,17,2021-January,2021-01-01
133,Cameroon,CR2,3,2021-January,2021-01-01
134,Cameroon,FX1,2,2021-January,2021-01-01
135,Cameroon,IR1,24,2021-January,2021-01-01
136,Cameroon,IR2,36,2021-January,2021-01-01
137,Cameroon,IR5,9,2021-January,2021-01-01
138,Canada,CR1,29,2021-January,2021-01-01
139,Canada,CR2,3,2021-January,2021-01-01
140,Canada,E35,1,2021-January,2021-01-01
141,Canada,IR1,114,2021-January,2021-01-01
142,Canada,IR2,24,2021-January,2021-01-01
143,Canada,SB1,1,2021-January,2021-01-01
144,Cayman Islands,E35,1,2021-January,2021-01-01
145,Chad,IR1,1,2021-January,2021-01-01
146,Chile,CR1,4,2021-January,2021-01-01
147,Chile,IR1,13,2021-January,2021-01-01
148,Chile,IR2,6,2021-January,2021-01-01
149,China - mainland born,CR1,69,2021-January,2021-01-01
150,China - mainland born,CR2,8,2021-January,2021-01-01
151,China - mainland born,E31,1,2021-January,2021-01-01
152,China - mainland born,IR1,101,2021-January,2021-01-01
153,China - mainland born,IR2,34,2021-January,2021-01-01
154,China - mainland born,IW,2,2021-January,2021-01-01
155,China - mainland born,SB1,13,2021-January,2021-01-01
156,China - mainland born,SE1,1,2021-January,2021-01-01
157,China - mainland born,SE2,1,2021-January,2021-01-01
158,China - mainland born,SE3,1,2021-January,2021-01-01
159,China - Taiwan born,CR1,6,2021-January,2021-01-01
160,China - Taiwan born,IR1,9,2021-January,2021-01-01
161,China - Taiwan born,IR3,4,2021-January,2021-01-01
162,Colombia,CR1,11,2021-January,2021-01-01
163,Colombia,CR2,6,2021-January,2021-01-01
164,Colombia,E31,1,2021-January,2021-01-01
165,Colombia,F11,2,2021-January,2021-01-01
166,Colombia,F12,1,2021-January,2021-01-01
167,Colombia,F24,1,2021-January,2021-01-01
168,Colombia,F41,1,2021-January,2021-01-01
169,Colombia,F42,1,2021-January,2021-01-01
170,Colombia,F43,1,2021-January,2021-01-01
171,Colombia,IH3,9,2021-January,2021-01-01
172,Colombia,IR1,22,2021-January,2021-01-01
173,Colombia,IR2,24,2021-January,2021-01-01
174,Colombia,IR5,5,2021-January,2021-01-01
175,Colombia,SB1,9,2021-January,2021-01-01
176,"Congo, Democratic Republic of the",CR1,11,2021-January,2021-01-01
177,"Congo, Democratic Republic of the",IR1,9,2021-January,2021-01-01
178,"Congo, Democratic Republic of the",IR2,10,2021-January,2021-01-01
179,"Congo, Democratic Republic of the",IR5,1,2021-January,2021-01-01
180,"Congo, Democratic Republic of the",SB1,1,2021-January,2021-01-01
181,"Congo, Republic of the",IR1,1,2021-January,2021-01-01
182,"Congo, Republic of the",IR3,4,2021-January,2021-01-01
183,Costa Rica,CR1,9,2021-January,2021-01-01
184,Costa Rica,CR2,3,2021-January,2021-01-01
185,Costa Rica,IR1,18,2021-January,2021-01-01
186,Costa Rica,IR2,11,2021-January,2021-01-01
187,Cote d'Ivoire,CR1,11,2021-January,2021-01-01
188,Cote d'Ivoire,CR2,2,2021-January,2021-01-01
189,Cote d'Ivoire,IR1,18,2021-January,2021-01-01
190,Cote d'Ivoire,IR2,15,2021-January,2021-01-01
191,Cote d'Ivoire,IR3,2,2021-January,2021-01-01
192,Cote d'Ivoire,SB1,1,2021-January,2021-01-01
193,Croatia,CR1,1,2021-January,2021-01-01
194,Croatia,E21,2,2021-January,2021-01-01
195,Croatia,E22,2,2021-January,2021-01-01
196,Croatia,FX3,1,2021-January,2021-01-01
197,Croatia,IR1,1,2021-January,2021-01-01
198,Cuba,CR1,15,2021-January,2021-01-01
199,Cuba,FX1,4,2021-January,2021-01-01
200,Cuba,FX2,4,2021-January,2021-01-01
201,Cuba,IR1,37,2021-January,2021-01-01
202,Cuba,IR2,32,2021-January,2021-01-01
203,Cuba,IR5,10,2021-January,2021-01-01
204,Cuba,SB1,1,2021-January,2021-01-01
205,Curacao,CR1,1,2021-January,2021-01-01
206,Cyprus,IR1,1,2021-January,2021-01-01
207,Czech Republic,IR1,4,2021-January,2021-01-01
208,Czech Republic,IR2,2,2021-January,2021-01-01
209,Czech Republic,SB1,2,2021-January,2021-01-01
210,Djibouti,CR1,1,2021-January,2021-01-01
211,Djibouti,IR1,2,2021-January,2021-01-01
212,Dominica,CR1,2,2021-January,2021-01-01
213,Dominica,IR1,1,2021-January,2021-01-01
214,Dominica,IR2,9,2021-January,2021-01-01
215,Dominican Republic,CR1,30,2021-January,2021-01-01
216,Dominican Republic,CR2,11,2021-January,2021-01-01
217,Dominican Republic,FX1,1,2021-January,2021-01-01
218,Dominican Republic,IB1,1,2021-January,2021-01-01
219,Dominican Republic,IR1,205,2021-January,2021-01-01
220,Dominican Republic,IR2,194,2021-January,2021-01-01
221,Dominican Republic,IW,5,2021-January,2021-01-01
222,Dominican Republic,SB1,1,2021-January,2021-01-01
223,Ecuador,CR1,4,2021-January,2021-01-01
224,Ecuador,FX1,1,2021-January,2021-01-01
225,Ecuador,FX3,1,2021-January,2021-01-01
226,Ecuador,IR1,69,2021-January,2021-01-01
227,Ecuador,IR2,50,2021-January,2021-01-01
228,Ecuador,IR5,1,2021-January,2021-01-01
229,Egypt,CR1,7,2021-January,2021-01-01
230,Egypt,F41,2,2021-January,2021-01-01
231,Egypt,F43,2,2021-January,2021-01-01
232,Egypt,FX2,1,2021-January,2021-01-01
233,Egypt,I51,1,2021-January,2021-01-01
234,Egypt,I52,1,2021-January,2021-01-01
235,Egypt,I53,4,2021-January,2021-01-01
236,Egypt,IB1,3,2021-January,2021-01-01
237,Egypt,IR1,12,2021-January,2021-01-01
238,Egypt,IR2,6,2021-January,2021-01-01
239,Egypt,IR5,4,2021-January,2021-01-01
240,Egypt,SB1,1,2021-January,2021-01-01
241,Egypt,SE1,2,2021-January,2021-01-01
242,Egypt,SE2,2,2021-January,2021-01-01
243,Egypt,SE3,4,2021-January,2021-01-01
244,El Salvador,CR1,15,2021-January,2021-01-01
245,El Salvador,F11,1,2021-January,2021-01-01
246,El Salvador,F24,1,2021-January,2021-01-01
247,El Salvador,F25,1,2021-January,2021-01-01
248,El Salvador,IR1,147,2021-January,2021-01-01
249,El Salvador,IR2,61,2021-January,2021-01-01
250,El Salvador,SE1,1,2021-January,2021-01-01
251,El Salvador,SE2,1,2021-January,2021-01-01
252,El Salvador,SE3,2,2021-January,2021-01-01
253,Equatorial Guinea,IR2,1,2021-January,2021-01-01
254,Eritrea,CR1,1,2021-January,2021-01-01
255,Eritrea,IR1,8,2021-January,2021-01-01
256,Eritrea,IR2,2,2021-January,2021-01-01
257,Eritrea,SE3,1,2021-January,2021-01-01
258,Ethiopia,CR1,29,2021-January,2021-01-01
259,Ethiopia,FX1,2,2021-January,2021-01-01
260,Ethiopia,IR1,33,2021-January,2021-01-01
261,Ethiopia,IR2,12,2021-January,2021-01-01
262,Ethiopia,IR5,1,2021-January,2021-01-01
263,Ethiopia,SE1,1,2021-January,2021-01-01
264,Ethiopia,SE3,2,2021-January,2021-01-01
265,Fiji,CR1,4,2021-January,2021-01-01
266,Fiji,IR1,2,2021-January,2021-01-01
267,Fiji,IR2,3,2021-January,2021-01-01
268,Fiji,SB1,1,2021-January,2021-01-01
269,Finland,CR1,2,2021-January,2021-01-01
270,Finland,IR1,2,2021-January,2021-01-01
271,France,CR1,11,2021-January,2021-01-01
272,France,CR2,1,2021-January,2021-01-01
273,France,IR1,20,2021-January,2021-01-01
274,France,IR2,3,2021-January,2021-01-01
275,France,SQ3,1,2021-January,2021-01-01
276,"Gambia, The",CR1,3,2021-January,2021-01-01
277,"Gambia, The",F41,1,2021-January,2021-01-01
278,"Gambia, The",IR1,8,2021-January,2021-01-01
279,"Gambia, The",IR2,18,2021-January,2021-01-01
280,"Gambia, The",IR5,2,2021-January,2021-01-01
281,Germany,CR1,3,2021-January,2021-01-01
282,Germany,CR2,1,2021-January,2021-01-01
283,Germany,E21,1,2021-January,2021-01-01
284,Germany,E23,1,2021-January,2021-01-01
285,Germany,IR1,9,2021-January,2021-01-01
286,Germany,SB1,1,2021-January,2021-01-01
287,Ghana,CR1,7,2021-January,2021-01-01
288,Ghana,E31,4,2021-January,2021-01-01
289,Ghana,E34,3,2021-January,2021-01-01
290,Ghana,E35,8,2021-January,2021-01-01
291,Ghana,F11,4,2021-January,2021-01-01
292,Ghana,F12,1,2021-January,2021-01-01
293,Ghana,F31,3,2021-January,2021-01-01
294,Ghana,F32,2,2021-January,2021-01-01
295,Ghana,F33,3,2021-January,2021-01-01
296,Ghana,F41,4,2021-January,2021-01-01
297,Ghana,F42,2,2021-January,2021-01-01
298,Ghana,F43,4,2021-January,2021-01-01
299,Ghana,FX1,4,2021-January,2021-01-01
300,Ghana,FX2,1,2021-January,2021-01-01
301,Ghana,FX3,6,2021-January,2021-01-01
302,Ghana,IH3,4,2021-January,2021-01-01
303,Ghana,IR1,28,2021-January,2021-01-01
304,Ghana,IR2,26,2021-January,2021-01-01
305,Ghana,IR5,18,2021-January,2021-01-01
306,Great Britain and Northern Ireland,CR1,43,2021-January,2021-01-01
307,Great Britain and Northern Ireland,CR2,6,2021-January,2021-01-01
308,Great Britain and Northern Ireland,E35,1,2021-January,2021-01-01
309,Great Britain and Northern Ireland,IR1,38,2021-January,2021-01-01
310,Great Britain and Northern Ireland,IR2,11,2021-January,2021-01-01
311,Great Britain and Northern Ireland,SB1,2,2021-January,2021-01-01
312,Greece,CR1,5,2021-January,2021-01-01
313,Greece,EW3,1,2021-January,2021-01-01
314,Greece,FX1,1,2021-January,2021-01-01
315,Greece,FX2,1,2021-January,2021-01-01
316,Greece,IR1,3,2021-January,2021-01-01
317,Greece,IR2,3,2021-January,2021-01-01
318,Grenada,CR1,3,2021-January,2021-01-01
319,Grenada,F11,1,2021-January,2021-01-01
320,Grenada,IR1,2,2021-January,2021-01-01
321,Grenada,IR2,6,2021-January,2021-01-01
322,Guatemala,CR1,1,2021-January,2021-01-01
323,Guatemala,CR2,2,2021-January,2021-01-01
324,Guatemala,FX1,2,2021-January,2021-01-01
325,Guatemala,IR1,25,2021-January,2021-01-01
326,Guatemala,IR2,6,2021-January,2021-01-01
327,Guatemala,IR5,2,2021-January,2021-01-01
328,Guatemala,SB1,1,2021-January,2021-01-01
329,Guatemala,SU3,1,2021-January,2021-01-01
330,Guinea,CR1,4,2021-January,2021-01-01
331,Guinea,IR1,8,2021-January,2021-01-01
332,Guinea,IR2,9,2021-January,2021-01-01
333,Guinea,IR5,1,2021-January,2021-01-01
334,Guyana,CR1,10,2021-January,2021-01-01
335,Guyana,CR2,5,2021-January,2021-01-01
336,Guyana,E31,1,2021-January,2021-01-01
337,Guyana,F11,1,2021-January,2021-01-01
338,Guyana,F31,2,2021-January,2021-01-01
339,Guyana,F32,2,2021-January,2021-01-01
340,Guyana,F33,4,2021-January,2021-01-01
341,Guyana,F41,2,2021-January,2021-01-01
342,Guyana,F43,1,2021-January,2021-01-01
343,Guyana,IR1,27,2021-January,2021-01-01
344,Guyana,IR2,13,2021-January,2021-01-01
345,Guyana,IR5,2,2021-January,2021-01-01
346,Guyana,SB1,2,2021-January,2021-01-01
347,Haiti,CR1,6,2021-January,2021-01-01
348,Haiti,CR2,1,2021-January,2021-01-01
349,Haiti,F11,1,2021-January,2021-01-01
350,Haiti,FX1,1,2021-January,2021-01-01
351,Haiti,FX3,1,2021-January,2021-01-01
352,Haiti,IR1,157,2021-January,2021-01-01
353,Haiti,IR2,124,2021-January,2021-01-01
354,Haiti,IR5,1,2021-January,2021-01-01
355,Honduras,CR1,5,2021-January,2021-01-01
356,Honduras,CR2,2,2021-January,2021-01-01
357,Honduras,IR1,43,2021-January,2021-01-01
358,Honduras,IR2,39,2021-January,2021-01-01
359,Honduras,IR3,1,2021-January,2021-01-01
360,Honduras,IR5,2,2021-January,2021-01-01
361,Hong Kong S.A.R,F41,1,2021-January,2021-01-01
362,Hong Kong S.A.R,F42,1,2021-January,2021-01-01
363,Hong Kong S.A.R,F43,1,2021-January,2021-01-01
364,Hong Kong S.A.R.,CR1,4,2021-January,2021-01-01
365,Hong Kong S.A.R.,IR1,16,2021-January,2021-01-01
366,Hong Kong S.A.R.,IR2,7,2021-January,2021-01-01
367,Hungary,CR1,1,2021-January,2021-01-01
368,Hungary,IR1,5,2021-January,2021-01-01
369,Hungary,IR2,1,2021-January,2021-01-01
370,Iceland,CR1,1,2021-January,2021-01-01
371,Iceland,IR1,1,2021-January,2021-01-01
372,India,CR1,170,2021-January,2021-01-01
373,India,CR2,2,2021-January,2021-01-01
374,India,E31,37,2021-January,2021-01-01
375,India,E32,1,2021-January,2021-01-01
376,India,E34,38,2021-January,2021-01-01
377,India,E35,52,2021-January,2021-01-01
378,India,F31,1,2021-January,2021-01-01
379,India,F32,1,2021-January,2021-01-01
380,India,F33,2,2021-January,2021-01-01
381,India,F43,1,2021-January,2021-01-01
382,India,FX1,23,2021-January,2021-01-01
383,India,FX2,2,2021-January,2021-01-01
384,India,FX3,2,2021-January,2021-01-01
385,India,I51,1,2021-January,2021-01-01
386,India,I52,2,2021-January,2021-01-01
387,India,I53,1,2021-January,2021-01-01
388,India,IH3,18,2021-January,2021-01-01
389,India,IR1,290,2021-January,2021-01-01
390,India,IR2,37,2021-January,2021-01-01
391,India,IR5,2,2021-January,2021-01-01
392,India,SB1,2,2021-January,2021-01-01
393,India,SE1,1,2021-January,2021-01-01
394,India,SE2,1,2021-January,2021-01-01
395,India,SQ3,1,2021-January,2021-01-01
396,Indonesia,CR1,4,2021-January,2021-01-01
397,Indonesia,IR1,16,2021-January,2021-01-01
398,Indonesia,IR2,7,2021-January,2021-01-01
399,Iran,CR1,8,2021-January,2021-01-01
400,Iran,F11,1,2021-January,2021-01-01
401,Iran,F31,2,2021-January,2021-01-01
402,Iran,F32,2,2021-January,2021-01-01
403,Iran,F33,3,2021-January,2021-01-01
404,Iran,F41,1,2021-January,2021-01-01
405,Iran,F43,1,2021-January,2021-01-01
406,Iran,FX1,1,2021-January,2021-01-01
407,Iran,IR1,18,2021-January,2021-01-01
408,Iran,IR2,3,2021-January,2021-01-01
409,Iran,IR4,1,2021-January,2021-01-01
410,Iran,IR5,5,2021-January,2021-01-01
411,Iraq,FX1,1,2021-January,2021-01-01
412,Iraq,IR1,12,2021-January,2021-01-01
413,Ireland,CR1,3,2021-January,2021-01-01
414,Ireland,IR1,8,2021-January,2021-01-01
415,Ireland,IR2,2,2021-January,2021-01-01
416,Israel,CR1,7,2021-January,2021-01-01
417,Israel,IR1,13,2021-January,2021-01-01
418,Israel,IR2,4,2021-January,2021-01-01
419,Israel,SB1,1,2021-January,2021-01-01
420,Italy,CR1,13,2021-January,2021-01-01
421,Italy,CR2,2,2021-January,2021-01-01
422,Italy,E11,1,2021-January,2021-01-01
423,Italy,FX1,1,2021-January,2021-01-01
424,Italy,FX3,2,2021-January,2021-01-01
425,Italy,IR1,12,2021-January,2021-01-01
426,Italy,IR2,4,2021-January,2021-01-01
427,Italy,SB1,2,2021-January,2021-01-01
428,Jamaica,CR1,32,2021-January,2021-01-01
429,Jamaica,CR2,14,2021-January,2021-01-01
430,Jamaica,E31,67,2021-January,2021-01-01
431,Jamaica,E34,32,2021-January,2021-01-01
432,Jamaica,E35,44,2021-January,2021-01-01
433,Jamaica,FX1,1,2021-January,2021-01-01
434,Jamaica,IR1,97,2021-January,2021-01-01
435,Jamaica,IR2,146,2021-January,2021-01-01
436,Jamaica,IR3,2,2021-January,2021-01-01
437,Jamaica,IW,1,2021-January,2021-01-01
438,Jamaica,SB1,3,2021-January,2021-01-01
439,Japan,CR1,8,2021-January,2021-01-01
440,Japan,I51,1,2021-January,2021-01-01
441,Japan,I53,1,2021-January,2021-01-01
442,Japan,IR1,52,2021-January,2021-01-01
443,Japan,IR2,5,2021-January,2021-01-01
444,Japan,SB1,1,2021-January,2021-01-01
445,Jordan,CR1,32,2021-January,2021-01-01
446,Jordan,F31,1,2021-January,2021-01-01
447,Jordan,F32,1,2021-January,2021-01-01
448,Jordan,F33,1,2021-January,2021-01-01
449,Jordan,F41,1,2021-January,2021-01-01
450,Jordan,F42,2,2021-January,2021-01-01
451,Jordan,F43,6,2021-January,2021-01-01
452,Jordan,IR1,70,2021-January,2021-01-01
453,Jordan,IR2,28,2021-January,2021-01-01
454,Kazakhstan,CR1,4,2021-January,2021-01-01
455,Kazakhstan,CR2,1,2021-January,2021-01-01
456,Kazakhstan,IR1,2,2021-January,2021-01-01
457,Kazakhstan,IR2,3,2021-January,2021-01-01
458,Kenya,CR1,2,2021-January,2021-01-01
459,Kenya,CR2,1,2021-January,2021-01-01
460,Kenya,E31,43,2021-January,2021-01-01
461,Kenya,E34,23,2021-January,2021-01-01
462,Kenya,E35,58,2021-January,2021-01-01
463,Kenya,EW3,1,2021-January,2021-01-01
464,Kenya,EW4,1,2021-January,2021-01-01
465,Kenya,EW5,6,2021-January,2021-01-01
466,Kenya,IR1,16,2021-January,2021-01-01
467,Kenya,IR2,21,2021-January,2021-01-01
468,Kenya,SB1,3,2021-January,2021-01-01
469,"Korea, South",CR1,26,2021-January,2021-01-01
470,"Korea, South",CR2,1,2021-January,2021-01-01
471,"Korea, South",E22,1,2021-January,2021-01-01
472,"Korea, South",E31,6,2021-January,2021-01-01
473,"Korea, South",E34,1,2021-January,2021-01-01
474,"Korea, South",EW3,1,2021-January,2021-01-01
475,"Korea, South",EW4,2,2021-January,2021-01-01
476,"Korea, South",EW5,2,2021-January,2021-01-01
477,"Korea, South",IR1,36,2021-January,2021-01-01
478,"Korea, South",IR2,3,2021-January,2021-01-01
479,"Korea, South",IR3,24,2021-January,2021-01-01
480,"Korea, South",SB1,3,2021-January,2021-01-01
481,Kosovo,CR1,6,2021-January,2021-01-01
482,Kosovo,CR2,1,2021-January,2021-01-01
483,Kosovo,IR1,10,2021-January,2021-01-01
484,Kosovo,IR2,4,2021-January,2021-01-01
485,Kosovo,IR5,7,2021-January,2021-01-01
486,Kosovo,SE1,1,2021-January,2021-01-01
487,Kosovo,SE2,1,2021-January,2021-01-01
488,Kosovo,SE3,2,2021-January,2021-01-01
489,Kuwait,CR1,1,2021-January,2021-01-01
490,Kuwait,E31,2,2021-January,2021-01-01
491,Kuwait,E34,1,2021-January,2021-01-01
492,Kuwait,IR1,12,2021-January,2021-01-01
493,Kuwait,IR2,3,2021-January,2021-01-01
494,Kuwait,IR5,1,2021-January,2021-01-01
495,Kyrgyzstan,CR1,3,2021-January,2021-01-01
496,Kyrgyzstan,CR2,2,2021-January,2021-01-01
497,Kyrgyzstan,IR1,7,2021-January,2021-01-01
498,Kyrgyzstan,IR2,5,2021-January,2021-01-01
499,Laos,CR1,1,2021-January,2021-01-01
500,Laos,IR1,1,2021-January,2021-01-01
501,Latvia,CR1,2,2021-January,2021-01-01
502,Latvia,E31,1,2021-January,2021-01-01
503,Latvia,IH3,1,2021-January,2021-01-01
504,Latvia,IR1,3,2021-January,2021-01-01
505,Latvia,IR2,2,2021-January,2021-01-01
506,Lebanon,CR1,11,2021-January,2021-01-01
507,Lebanon,F41,1,2021-January,2021-01-01
508,Lebanon,F42,1,2021-January,2021-01-01
509,Lebanon,F43,4,2021-January,2021-01-01
510,Lebanon,IR1,22,2021-January,2021-01-01
511,Lebanon,IR2,17,2021-January,2021-01-01
512,Lebanon,IR5,1,2021-January,2021-01-01
513,Lebanon,SB1,1,2021-January,2021-01-01
514,Lesotho,IH3,1,2021-January,2021-01-01
515,Liberia,CR1,3,2021-January,2021-01-01
516,Liberia,IR1,13,2021-January,2021-01-01
517,Liberia,IR2,35,2021-January,2021-01-01
518,Liberia,IR3,2,2021-January,2021-01-01
519,Liberia,IR5,1,2021-January,2021-01-01
520,Liberia,SE1,1,2021-January,2021-01-01
521,Liberia,SE2,1,2021-January,2021-01-01
522,Liberia,SE3,1,2021-January,2021-01-01
523,Libya,CR1,2,2021-January,2021-01-01
524,Libya,IR1,3,2021-January,2021-01-01
525,Libya,IR2,2,2021-January,2021-01-01
526,Libya,IR5,1,2021-January,2021-01-01
527,Lithuania,CR1,1,2021-January,2021-01-01
528,Lithuania,F41,1,2021-January,2021-01-01
529,Macau,CR1,1,2021-January,2021-01-01
530,Macau,CR2,1,2021-January,2021-01-01
531,Macau,SB1,1,2021-January,2021-01-01
532,Madagascar,IR1,1,2021-January,2021-01-01
533,Malaysia,CR1,3,2021-January,2021-01-01
534,Malaysia,IR1,5,2021-January,2021-01-01
535,Mali,IR1,2,2021-January,2021-01-01
536,Mali,IR2,5,2021-January,2021-01-01
537,Mauritania,IR1,1,2021-January,2021-01-01
538,Mauritania,IR2,1,2021-January,2021-01-01
539,Mexico,CR1,7,2021-January,2021-01-01
540,Mexico,F11,1,2021-January,2021-01-01
541,Mexico,F12,1,2021-January,2021-01-01
542,Mexico,F41,1,2021-January,2021-01-01
543,Mexico,F42,1,2021-January,2021-01-01
544,Mexico,F43,1,2021-January,2021-01-01
545,Mexico,FX1,6,2021-January,2021-01-01
