Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,8,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,1811,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,266,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,266,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,438,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,465,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,92,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,97,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,65,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,72,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,38,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,12,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,647,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,128,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,111,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,155,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,104,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,33,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,33,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,27,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,20,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,29,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,7,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,32489,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,2965,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,3713,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,3358,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,2767,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,2941,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,2378,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,1925,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,3366,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,4545,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,4531,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,14042,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,1311,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,1571,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,1610,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,1275,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,1469,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,1129,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,942,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,1341,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,1730,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,1664,UC / Single Minors,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,15460,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,1207,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,1638,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,1405,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,957,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,1254,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,1051,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,828,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,1846,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,2620,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,2654,FMUA,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,2987,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,447,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,504,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,343,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,535,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,218,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,198,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,155,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,179,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,195,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,213,Single Adults,El Salvador,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,35030,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,JUL,JUL,3371,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,JUN,JUN,4102,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,MAY,MAY,3958,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,APR,APR,3345,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,MAR,MAR,3077,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,2518,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,2025,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,3462,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,4614,%many-values%,El Salvador,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,4558,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,149,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,11,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,13,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,9,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,37,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,17,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,9,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,8,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,21,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,9,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,15,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,18,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,2,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,8,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,1,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,1,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,1,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,4,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,1,Accompanied Minors,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,131,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,9,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,13,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,9,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,29,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,16,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,8,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,7,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,17,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,9,Single Adults,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,14,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,48925,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,4559,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,5010,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,5018,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,4973,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,5308,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,4619,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,3776,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,5391,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,5042,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,5229,%many-values%,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,1,UC / Single Minors,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,1,UC / Single Minors,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,8384,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,714,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,1002,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,806,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,624,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,568,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,457,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,469,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,1080,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,1216,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,1448,FMUA,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,40540,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,3845,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,4008,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,4212,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,4349,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,4740,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,4162,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,3307,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,4310,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,3826,Single Adults,El Salvador,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,3781,Single Adults,El Salvador,Title 42
%all%,%all%,%all%,%all%,%all%,%all%,49074,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,JUL,JUL,4570,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,JUN,JUN,5023,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,MAY,MAY,5027,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,APR,APR,5010,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,MAR,MAR,5325,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,FEB,FEB,4628,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,JAN,JAN,3784,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,DEC,DEC,5412,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,NOV,NOV,5051,%many-values%,El Salvador,Title 42
%all%,%all%,%all%,%all%,OCT,OCT,5244,%many-values%,El Salvador,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,2339,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,404,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,430,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,393,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,457,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,147,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,134,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,110,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,101,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,90,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,73,%many-values%,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,17,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,3,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,1,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,3,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,1,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,3,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,3,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,3,Accompanied Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,221,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,19,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,45,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,28,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,29,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,16,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,26,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,9,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,17,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,13,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,19,UC / Single Minors,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,1386,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,278,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,292,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,251,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,313,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,73,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,66,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,51,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,25,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,23,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,14,FMUA,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,715,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,104,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,92,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,111,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,115,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,57,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,39,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,50,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,59,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,51,Single Adults,Guatemala,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,37,Single Adults,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,198140,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,19755,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,24214,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,21074,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,19449,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,21241,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,18078,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,13746,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,20907,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,20379,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,19297,%many-values%,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,51769,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,5292,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,6270,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,5822,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,4703,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,5472,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,4841,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,3057,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,5272,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,5990,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,5050,UC / Single Minors,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,31000,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,3661,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,5686,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,2865,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,1859,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,2293,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,2157,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,1636,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,3121,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,3589,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,4133,FMUA,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,115371,Single Adults,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,10802,Single Adults,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,12258,Single Adults,Guatemala,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,12387,Single Adults,Guatemala,all
