Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,203422,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,210941,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,159065,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,147819,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,170602,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,167018,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,159119,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,126580,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,13028,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,14931,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,14418,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,11858,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,13892,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11780,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8607,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,11704,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,13745,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12617,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,399057,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,42811,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,44075,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,51167,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,37084,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,34053,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,25167,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,30420,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,49437,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,43281,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,41562,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,1290716,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,125713,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,133412,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,158812,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,154480,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,162996,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,122118,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,108792,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,109461,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,109992,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,104940,Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,1946780,%many-values%,all,all
%all%,%all%,%all%,%all%,JUL,JUL,199976,%many-values%,all,all
%all%,%all%,%all%,%all%,JUN,JUN,207933,%many-values%,all,all
%all%,%all%,%all%,%all%,MAY,MAY,241166,%many-values%,all,all
%all%,%all%,%all%,%all%,APR,APR,235706,%many-values%,all,all
%all%,%all%,%all%,%all%,MAR,MAR,222334,%many-values%,all,all
%all%,%all%,%all%,%all%,FEB,FEB,165905,%many-values%,all,all
%all%,%all%,%all%,%all%,JAN,JAN,154815,%many-values%,all,all
%all%,%all%,%all%,%all%,DEC,DEC,179253,%many-values%,all,all
%all%,%all%,%all%,%all%,NOV,NOV,174848,%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,164844,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,108803,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,16467,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,13622,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,14592,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,30034,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,8992,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,4569,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,4806,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,6340,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,5493,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,3888,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,636,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,76,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,61,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,39,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,49,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,44,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,65,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,74,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,2265,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,271,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,324,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,255,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,313,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,245,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,200,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,141,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,174,UC / Single Minors,all,Title 8
