Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2020,2020,SEP,SEP,87,all,all,Accompanied Minors,all
2021,2021,SEP,SEP,225,all,all,Accompanied Minors,all
2022,2022,SEP,SEP,187,all,all,Accompanied Minors,all
2020,2020,AUG,AUG,101,all,all,Accompanied Minors,all
2021,2021,AUG,AUG,423,all,all,Accompanied Minors,all
2022,2022,AUG,AUG,295,all,all,Accompanied Minors,all
2020,2020,JUL,JUL,68,all,all,Accompanied Minors,all
2021,2021,JUL,JUL,305,all,all,Accompanied Minors,all
2022,2022,JUL,JUL,272,all,all,Accompanied Minors,all
2020,2020,JUN,JUN,56,all,all,Accompanied Minors,all
2021,2021,JUN,JUN,169,all,all,Accompanied Minors,all
2022,2022,JUN,JUN,170,all,all,Accompanied Minors,all
2020,2020,MAY,MAY,30,all,all,Accompanied Minors,all
2021,2021,MAY,MAY,155,all,all,Accompanied Minors,all
2022,2022,MAY,MAY,235,all,all,Accompanied Minors,all
2020,2020,APR,APR,18,all,all,Accompanied Minors,all
2021,2021,APR,APR,134,all,all,Accompanied Minors,all
2022,2022,APR,APR,285,all,all,Accompanied Minors,all
2020,2020,MAR,MAR,40,all,all,Accompanied Minors,all
2021,2021,MAR,MAR,159,all,all,Accompanied Minors,all
2022,2022,MAR,MAR,256,all,all,Accompanied Minors,all
2020,2020,FEB,FEB,38,all,all,Accompanied Minors,all
2021,2021,FEB,FEB,145,all,all,Accompanied Minors,all
2022,2022,FEB,FEB,229,all,all,Accompanied Minors,all
2020,2020,JAN,JAN,33,all,all,Accompanied Minors,all
2021,2021,JAN,JAN,105,all,all,Accompanied Minors,all
2022,2022,JAN,JAN,239,all,all,Accompanied Minors,all
2020,2020,DEC,DEC,61,all,all,Accompanied Minors,all
2021,2021,DEC,DEC,87,all,all,Accompanied Minors,all
2022,2022,DEC,DEC,305,all,all,Accompanied Minors,all
2023 (FYTD),2023 (FYTD),DEC,DEC,293,all,all,Accompanied Minors,all
2020,2020,NOV,NOV,53,all,all,Accompanied Minors,all
2021,2021,NOV,NOV,89,all,all,Accompanied Minors,all
2022,2022,NOV,NOV,303,all,all,Accompanied Minors,all
2023 (FYTD),2023 (FYTD),NOV,NOV,226,all,all,Accompanied Minors,all
2020,2020,OCT,OCT,102,all,all,Accompanied Minors,all
2021,2021,OCT,OCT,112,all,all,Accompanied Minors,all
2022,2022,OCT,OCT,187,all,all,Accompanied Minors,all
2023 (FYTD),2023 (FYTD),OCT,OCT,249,all,all,Accompanied Minors,all
2020,2020,SEP,SEP,7,all,all,Accompanied Minors,Title 8
2021,2021,SEP,SEP,63,all,all,Accompanied Minors,Title 8
2022,2022,SEP,SEP,53,all,all,Accompanied Minors,Title 8
2020,2020,AUG,AUG,20,all,all,Accompanied Minors,Title 8
2021,2021,AUG,AUG,146,all,all,Accompanied Minors,Title 8
