Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2021,2021,NOV,NOV,63230,all,all,all,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,90188,all,all,all,Title 42
2021,2021,OCT,OCT,64894,all,all,all,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,94527,all,all,all,Title 42
2019,2019,SEP,SEP,74,all,all,Accompanied Minors,all
2020,2020,SEP,SEP,87,all,all,Accompanied Minors,all
2021,2021,SEP,SEP,225,all,all,Accompanied Minors,all
2019,2019,AUG,AUG,86,all,all,Accompanied Minors,all
2020,2020,AUG,AUG,101,all,all,Accompanied Minors,all
2021,2021,AUG,AUG,423,all,all,Accompanied Minors,all
2019,2019,JUL,JUL,87,all,all,Accompanied Minors,all
2020,2020,JUL,JUL,68,all,all,Accompanied Minors,all
2021,2021,JUL,JUL,305,all,all,Accompanied Minors,all
2019,2019,JUN,JUN,68,all,all,Accompanied Minors,all
2020,2020,JUN,JUN,56,all,all,Accompanied Minors,all
2021,2021,JUN,JUN,169,all,all,Accompanied Minors,all
2019,2019,MAY,MAY,70,all,all,Accompanied Minors,all
2020,2020,MAY,MAY,30,all,all,Accompanied Minors,all
2021,2021,MAY,MAY,155,all,all,Accompanied Minors,all
2019,2019,APR,APR,92,all,all,Accompanied Minors,all
2020,2020,APR,APR,18,all,all,Accompanied Minors,all
2021,2021,APR,APR,134,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,280,all,all,Accompanied Minors,all
2019,2019,MAR,MAR,91,all,all,Accompanied Minors,all
2020,2020,MAR,MAR,40,all,all,Accompanied Minors,all
2021,2021,MAR,MAR,159,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,256,all,all,Accompanied Minors,all
2019,2019,FEB,FEB,76,all,all,Accompanied Minors,all
2020,2020,FEB,FEB,38,all,all,Accompanied Minors,all
2021,2021,FEB,FEB,145,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,229,all,all,Accompanied Minors,all
2019,2019,JAN,JAN,70,all,all,Accompanied Minors,all
2020,2020,JAN,JAN,33,all,all,Accompanied Minors,all
2021,2021,JAN,JAN,105,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,238,all,all,Accompanied Minors,all
2019,2019,DEC,DEC,81,all,all,Accompanied Minors,all
