Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2020,2020,JAN,JAN,21364,all,U.S. Border Patrol,Single Adults,all
2021,2021,JAN,JAN,62562,all,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JAN,JAN,108791,all,U.S. Border Patrol,Single Adults,all
2019,2019,DEC,DEC,18491,all,U.S. Border Patrol,Single Adults,all
2020,2020,DEC,DEC,21035,all,U.S. Border Patrol,Single Adults,all
2021,2021,DEC,DEC,62041,all,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),DEC,DEC,109458,all,U.S. Border Patrol,Single Adults,all
2019,2019,NOV,NOV,21436,all,U.S. Border Patrol,Single Adults,all
2020,2020,NOV,NOV,21210,all,U.S. Border Patrol,Single Adults,all
2021,2021,NOV,NOV,60522,all,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),NOV,NOV,109992,all,U.S. Border Patrol,Single Adults,all
2019,2019,OCT,OCT,22925,all,U.S. Border Patrol,Single Adults,all
2020,2020,OCT,OCT,22840,all,U.S. Border Patrol,Single Adults,all
2021,2021,OCT,OCT,59711,all,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),OCT,OCT,104938,all,U.S. Border Patrol,Single Adults,all
2019,2019,SEP,SEP,21518,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,4421,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,SEP,SEP,25800,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,AUG,AUG,21913,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,AUG,AUG,3666,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,AUG,AUG,22078,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUL,JUL,23881,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUL,JUL,2567,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUL,JUL,21300,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUN,JUN,30172,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUN,JUN,2017,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUN,JUN,18514,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAY,MAY,36895,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAY,MAY,1412,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAY,MAY,15791,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,APR,APR,31680,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,APR,APR,1041,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,APR,APR,15594,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,65558,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAR,MAR,30673,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAR,MAR,17840,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAR,MAR,11416,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,61941,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,FEB,FEB,23536,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,FEB,FEB,22397,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,FEB,FEB,6255,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,39409,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JAN,JAN,18686,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JAN,JAN,21364,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JAN,JAN,4597,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,39862,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,DEC,DEC,18491,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,DEC,DEC,21035,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,DEC,DEC,4778,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,41523,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,NOV,NOV,21436,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,NOV,NOV,21210,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,NOV,NOV,4357,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,33763,all,U.S. Border Patrol,Single Adults,Title 8
2019,2019,OCT,OCT,22925,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,OCT,OCT,22840,all,U.S. Border Patrol,Single Adults,Title 8
2021,2021,OCT,OCT,4075,all,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,25658,all,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,42786,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,SEP,SEP,82958,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,AUG,AUG,38010,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,AUG,AUG,76045,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUL,JUL,31554,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUL,JUL,84105,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUN,JUN,25635,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUN,JUN,95007,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAY,MAY,18236,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAY,MAY,102169,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,APR,APR,13713,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,APR,APR,92908,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,87597,all,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAR,MAR,6120,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAR,MAR,85673,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,100892,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,FEB,FEB,62836,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,82703,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JAN,JAN,57965,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,68929,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,DEC,DEC,57263,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,67935,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,NOV,NOV,56165,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,76229,all,U.S. Border Patrol,Single Adults,Title 42
2021,2021,OCT,OCT,55636,all,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,79280,all,U.S. Border Patrol,Single Adults,Title 42
2019,2019,SEP,SEP,3165,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,SEP,SEP,3756,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,SEP,SEP,14180,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,AUG,AUG,3722,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,AUG,AUG,2998,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,AUG,AUG,18492,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUL,JUL,5554,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUL,JUL,2426,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUL,JUL,18681,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUN,JUN,7372,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUN,JUN,1603,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUN,JUN,15022,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAY,MAY,11475,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAY,MAY,966,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAY,MAY,13878,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,APR,APR,8880,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,APR,APR,712,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,APR,APR,16900,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,11879,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAR,MAR,8956,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAR,MAR,2974,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAR,MAR,18716,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,13897,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,FEB,FEB,6817,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,FEB,FEB,3070,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,FEB,FEB,9263,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,11781,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JAN,JAN,5105,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JAN,JAN,2680,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JAN,JAN,5688,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,8609,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,DEC,DEC,4753,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,DEC,DEC,3223,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,DEC,DEC,4852,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,11706,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,NOV,NOV,5257,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,NOV,NOV,3308,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,NOV,NOV,4475,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,13745,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,OCT,OCT,4964,all,U.S. Border Patrol,UC / Single Minors,all
2020,2020,OCT,OCT,2841,all,U.S. Border Patrol,UC / Single Minors,all
2021,2021,OCT,OCT,4687,all,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,12618,all,U.S. Border Patrol,UC / Single Minors,all
2019,2019,SEP,SEP,3165,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,SEP,SEP,1210,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,SEP,SEP,14179,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,AUG,AUG,3722,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,AUG,AUG,453,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,AUG,AUG,18490,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUL,JUL,5554,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUL,JUL,167,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JUL,JUL,18681,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUN,JUN,7372,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUN,JUN,75,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JUN,JUN,15022,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,MAY,MAY,11475,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,MAY,MAY,29,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,MAY,MAY,13878,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,APR,APR,8880,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,APR,APR,52,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,APR,APR,16899,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,11876,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,MAR,MAR,8956,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,MAR,MAR,2510,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,MAR,MAR,18715,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,13897,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,FEB,FEB,6817,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,FEB,FEB,3070,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,FEB,FEB,9259,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,11780,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JAN,JAN,5105,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JAN,JAN,2680,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JAN,JAN,5670,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,8609,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,DEC,DEC,4753,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,DEC,DEC,3223,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,DEC,DEC,4852,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,11705,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,NOV,NOV,5257,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,NOV,NOV,3308,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,NOV,NOV,2993,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,13743,all,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,OCT,OCT,4964,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,OCT,OCT,2841,all,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,OCT,OCT,1553,all,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,12618,all,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,SEP,SEP,2546,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,SEP,SEP,1,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,AUG,AUG,2545,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,AUG,AUG,2,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,JUL,JUL,2259,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,JUN,JUN,1528,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,MAY,MAY,937,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,APR,APR,660,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,APR,APR,1,all,U.S. Border Patrol,UC / Single Minors,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,3,all,U.S. Border Patrol,UC / Single Minors,Title 42
2020,2020,MAR,MAR,464,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,MAR,MAR,1,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,FEB,FEB,4,all,U.S. Border Patrol,UC / Single Minors,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,1,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,JAN,JAN,18,all,U.S. Border Patrol,UC / Single Minors,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,1,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,NOV,NOV,1482,all,U.S. Border Patrol,UC / Single Minors,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,2,all,U.S. Border Patrol,UC / Single Minors,Title 42
2021,2021,OCT,OCT,3134,all,U.S. Border Patrol,UC / Single Minors,Title 42
2019,2019,SEP,SEP,3622,El Salvador,all,all,all
2020,2020,SEP,SEP,2219,El Salvador,all,all,all
2021,2021,SEP,SEP,10953,El Salvador,all,all,all
2019,2019,AUG,AUG,6076,El Salvador,all,all,all
2020,2020,AUG,AUG,1478,El Salvador,all,all,all
2021,2021,AUG,AUG,12692,El Salvador,all,all,all
2019,2019,JUL,JUL,9976,El Salvador,all,all,all
2020,2020,JUL,JUL,947,El Salvador,all,all,all
2021,2021,JUL,JUL,12719,El Salvador,all,all,all
2019,2019,JUN,JUN,12725,El Salvador,all,all,all
2020,2020,JUN,JUN,542,El Salvador,all,all,all
2021,2021,JUN,JUN,11582,El Salvador,all,all,all
2019,2019,MAY,MAY,16134,El Salvador,all,all,all
2020,2020,MAY,MAY,471,El Salvador,all,all,all
2021,2021,MAY,MAY,10462,El Salvador,all,all,all
2019,2019,APR,APR,11202,El Salvador,all,all,all
2020,2020,APR,APR,553,El Salvador,all,all,all
2021,2021,APR,APR,11043,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),APR,APR,8327,El Salvador,all,all,all
2019,2019,MAR,MAR,9302,El Salvador,all,all,all
2020,2020,MAR,MAR,1441,El Salvador,all,all,all
2021,2021,MAR,MAR,9475,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),MAR,MAR,8399,El Salvador,all,all,all
2019,2019,FEB,FEB,5522,El Salvador,all,all,all
2020,2020,FEB,FEB,1488,El Salvador,all,all,all
2021,2021,FEB,FEB,5599,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),FEB,FEB,7146,El Salvador,all,all,all
2019,2019,JAN,JAN,3804,El Salvador,all,all,all
2020,2020,JAN,JAN,1330,El Salvador,all,all,all
2021,2021,JAN,JAN,3580,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),JAN,JAN,5809,El Salvador,all,all,all
2019,2019,DEC,DEC,3934,El Salvador,all,all,all
2020,2020,DEC,DEC,1939,El Salvador,all,all,all
2021,2021,DEC,DEC,3921,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),DEC,DEC,8874,El Salvador,all,all,all
2019,2019,NOV,NOV,5201,El Salvador,all,all,all
2020,2020,NOV,NOV,2175,El Salvador,all,all,all
2021,2021,NOV,NOV,3650,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),NOV,NOV,9666,El Salvador,all,all,all
2019,2019,OCT,OCT,4853,El Salvador,all,all,all
2020,2020,OCT,OCT,2582,El Salvador,all,all,all
2021,2021,OCT,OCT,3014,El Salvador,all,all,all
2022 (FYTD),2022 (FYTD),OCT,OCT,9803,El Salvador,all,all,all
2019,2019,SEP,SEP,3622,El Salvador,all,all,Title 8
2020,2020,SEP,SEP,272,El Salvador,all,all,Title 8
2021,2021,SEP,SEP,5223,El Salvador,all,all,Title 8
2019,2019,AUG,AUG,6076,El Salvador,all,all,Title 8
2020,2020,AUG,AUG,161,El Salvador,all,all,Title 8
2021,2021,AUG,AUG,7599,El Salvador,all,all,Title 8
2019,2019,JUL,JUL,9976,El Salvador,all,all,Title 8
2020,2020,JUL,JUL,66,El Salvador,all,all,Title 8
2021,2021,JUL,JUL,7121,El Salvador,all,all,Title 8
2019,2019,JUN,JUN,12725,El Salvador,all,all,Title 8
2020,2020,JUN,JUN,45,El Salvador,all,all,Title 8
2021,2021,JUN,JUN,5389,El Salvador,all,all,Title 8
2019,2019,MAY,MAY,16134,El Salvador,all,all,Title 8
2020,2020,MAY,MAY,39,El Salvador,all,all,Title 8
2021,2021,MAY,MAY,4501,El Salvador,all,all,Title 8
2019,2019,APR,APR,11202,El Salvador,all,all,Title 8
2020,2020,APR,APR,32,El Salvador,all,all,Title 8
2021,2021,APR,APR,4752,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,3371,El Salvador,all,all,Title 8
2019,2019,MAR,MAR,9302,El Salvador,all,all,Title 8
2020,2020,MAR,MAR,1093,El Salvador,all,all,Title 8
2021,2021,MAR,MAR,3724,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,3078,El Salvador,all,all,Title 8
2019,2019,FEB,FEB,5522,El Salvador,all,all,Title 8
2020,2020,FEB,FEB,1488,El Salvador,all,all,Title 8
2021,2021,FEB,FEB,1726,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,2518,El Salvador,all,all,Title 8
2019,2019,JAN,JAN,3804,El Salvador,all,all,Title 8
2020,2020,JAN,JAN,1330,El Salvador,all,all,Title 8
2021,2021,JAN,JAN,637,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,2025,El Salvador,all,all,Title 8
2019,2019,DEC,DEC,3934,El Salvador,all,all,Title 8
2020,2020,DEC,DEC,1939,El Salvador,all,all,Title 8
2021,2021,DEC,DEC,497,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,3462,El Salvador,all,all,Title 8
2019,2019,NOV,NOV,5201,El Salvador,all,all,Title 8
2020,2020,NOV,NOV,2175,El Salvador,all,all,Title 8
2021,2021,NOV,NOV,409,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,4615,El Salvador,all,all,Title 8
2019,2019,OCT,OCT,4853,El Salvador,all,all,Title 8
2020,2020,OCT,OCT,2582,El Salvador,all,all,Title 8
2021,2021,OCT,OCT,353,El Salvador,all,all,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,4560,El Salvador,all,all,Title 8
2020,2020,SEP,SEP,1947,El Salvador,all,all,Title 42
2021,2021,SEP,SEP,5730,El Salvador,all,all,Title 42
2020,2020,AUG,AUG,1317,El Salvador,all,all,Title 42
2021,2021,AUG,AUG,5093,El Salvador,all,all,Title 42
2020,2020,JUL,JUL,881,El Salvador,all,all,Title 42
2021,2021,JUL,JUL,5598,El Salvador,all,all,Title 42
2020,2020,JUN,JUN,497,El Salvador,all,all,Title 42
2021,2021,JUN,JUN,6193,El Salvador,all,all,Title 42
2020,2020,MAY,MAY,432,El Salvador,all,all,Title 42
2021,2021,MAY,MAY,5961,El Salvador,all,all,Title 42
2020,2020,APR,APR,521,El Salvador,all,all,Title 42
2021,2021,APR,APR,6291,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,4956,El Salvador,all,all,Title 42
2020,2020,MAR,MAR,348,El Salvador,all,all,Title 42
2021,2021,MAR,MAR,5751,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,5321,El Salvador,all,all,Title 42
2021,2021,FEB,FEB,3873,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,4628,El Salvador,all,all,Title 42
2021,2021,JAN,JAN,2943,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,3784,El Salvador,all,all,Title 42
2021,2021,DEC,DEC,3424,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,5412,El Salvador,all,all,Title 42
2021,2021,NOV,NOV,3241,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,5051,El Salvador,all,all,Title 42
2021,2021,OCT,OCT,2661,El Salvador,all,all,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,5243,El Salvador,all,all,Title 42
2019,2019,SEP,SEP,0,El Salvador,all,Accompanied Minors,all
2021,2021,SEP,SEP,7,El Salvador,all,Accompanied Minors,all
2019,2019,AUG,AUG,2,El Salvador,all,Accompanied Minors,all
2020,2020,AUG,AUG,1,El Salvador,all,Accompanied Minors,all
2021,2021,AUG,AUG,1,El Salvador,all,Accompanied Minors,all
2019,2019,JUL,JUL,0,El Salvador,all,Accompanied Minors,all
2021,2021,JUL,JUL,3,El Salvador,all,Accompanied Minors,all
2019,2019,JUN,JUN,0,El Salvador,all,Accompanied Minors,all
2020,2020,JUN,JUN,1,El Salvador,all,Accompanied Minors,all
2021,2021,JUN,JUN,5,El Salvador,all,Accompanied Minors,all
2019,2019,MAY,MAY,0,El Salvador,all,Accompanied Minors,all
2021,2021,MAY,MAY,6,El Salvador,all,Accompanied Minors,all
2019,2019,APR,APR,1,El Salvador,all,Accompanied Minors,all
2021,2021,APR,APR,3,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,9,El Salvador,all,Accompanied Minors,all
2019,2019,MAR,MAR,2,El Salvador,all,Accompanied Minors,all
2021,2021,MAR,MAR,4,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,1,El Salvador,all,Accompanied Minors,all
2019,2019,FEB,FEB,0,El Salvador,all,Accompanied Minors,all
2021,2021,FEB,FEB,1,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,1,El Salvador,all,Accompanied Minors,all
2019,2019,JAN,JAN,1,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,1,El Salvador,all,Accompanied Minors,all
2019,2019,DEC,DEC,0,El Salvador,all,Accompanied Minors,all
2021,2021,DEC,DEC,2,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,4,El Salvador,all,Accompanied Minors,all
2019,2019,NOV,NOV,0,El Salvador,all,Accompanied Minors,all
2021,2021,NOV,NOV,2,El Salvador,all,Accompanied Minors,all
2019,2019,OCT,OCT,0,El Salvador,all,Accompanied Minors,all
2020,2020,OCT,OCT,2,El Salvador,all,Accompanied Minors,all
2021,2021,OCT,OCT,1,El Salvador,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,1,El Salvador,all,Accompanied Minors,all
2019,2019,SEP,SEP,0,El Salvador,all,Accompanied Minors,Title 8
2021,2021,SEP,SEP,4,El Salvador,all,Accompanied Minors,Title 8
2019,2019,AUG,AUG,2,El Salvador,all,Accompanied Minors,Title 8
2020,2020,AUG,AUG,%null%,El Salvador,all,Accompanied Minors,Title 8
2021,2021,AUG,AUG,1,El Salvador,all,Accompanied Minors,Title 8
2019,2019,JUL,JUL,0,El Salvador,all,Accompanied Minors,Title 8
2019,2019,JUN,JUN,0,El Salvador,all,Accompanied Minors,Title 8
2020,2020,JUN,JUN,1,El Salvador,all,Accompanied Minors,Title 8
2021,2021,JUN,JUN,1,El Salvador,all,Accompanied Minors,Title 8
2019,2019,MAY,MAY,0,El Salvador,all,Accompanied Minors,Title 8
2021,2021,MAY,MAY,2,El Salvador,all,Accompanied Minors,Title 8
2019,2019,APR,APR,1,El Salvador,all,Accompanied Minors,Title 8
2021,2021,APR,APR,1,El Salvador,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,1,El Salvador,all,Accompanied Minors,Title 8
2019,2019,MAR,MAR,2,El Salvador,all,Accompanied Minors,Title 8
2019,2019,FEB,FEB,0,El Salvador,all,Accompanied Minors,Title 8
2019,2019,JAN,JAN,1,El Salvador,all,Accompanied Minors,Title 8
2019,2019,DEC,DEC,0,El Salvador,all,Accompanied Minors,Title 8
2019,2019,NOV,NOV,0,El Salvador,all,Accompanied Minors,Title 8
2019,2019,OCT,OCT,0,El Salvador,all,Accompanied Minors,Title 8
