Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,"5,862",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,"5,561",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,"4,138",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,"1,997,769",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,"181,160",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,"181,765",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,"192,471",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,"224,397",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,"203,422",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,"210,940",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,"159,063",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,"147,817",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,"170,601",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,"167,016",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,"159,117",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,"137,569",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,"11,013",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,"13,007",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,"14,930",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,"14,419",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,"11,857",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,"13,892",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,"11,779",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,"8,607",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,"11,704",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,"13,745",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,"12,616",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,"438,303",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,"39,221",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,"42,847",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,"44,071",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,"51,167",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,"37,083",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,"34,053",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,"25,166",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,"30,419",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,"49,436",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,"43,279",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,"41,561",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,"1,421,897",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,"130,926",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,"125,911",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,"133,470",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,"158,811",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,"154,482",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,"162,995",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,"122,118",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,"108,791",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,"109,461",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,"109,992",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,"104,940",Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,"2,150,639",%many-values%,all,all
%all%,%all%,%all%,%all%,AUG,AUG,"203,597",%many-values%,all,all
%all%,%all%,%all%,%all%,JUL,JUL,"200,195",%many-values%,all,all
%all%,%all%,%all%,%all%,JUN,JUN,"207,986",%many-values%,all,all
%all%,%all%,%all%,%all%,MAY,MAY,"241,166",%many-values%,all,all
%all%,%all%,%all%,%all%,APR,APR,"235,706",%many-values%,all,all
%all%,%all%,%all%,%all%,MAR,MAR,"222,333",%many-values%,all,all
%all%,%all%,%all%,%all%,FEB,FEB,"165,903",%many-values%,all,all
%all%,%all%,%all%,%all%,JAN,JAN,"154,813",%many-values%,all,all
%all%,%all%,%all%,%all%,DEC,DEC,"179,252",%many-values%,all,all
%all%,%all%,%all%,%all%,NOV,NOV,"174,846",%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,"164,842",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"129,216",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,"20,407",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"16,473",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"13,622",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"14,592",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"30,034",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"8,992",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"4,569",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,"4,806",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,"6,340",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,"5,493",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,"3,888",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,715,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,AUG,AUG,79,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,76,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,61,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,39,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,49,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,44,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,65,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,74,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,"2,617",UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,352,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,271,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,324,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,255,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,313,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,245,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,200,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,141,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,174,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,158,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,"68,266",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,"12,504",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,"9,231",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,"7,747",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,"8,391",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,"18,053",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,"3,865",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,"1,557",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,"1,584",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,"2,310",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,"1,782",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,"1,242",FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,"57,618",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,"7,472",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,"6,895",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,"5,490",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,"5,907",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,"11,588",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,"4,833",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,"2,768",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,"3,016",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,"3,782",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,"3,447",Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,"2,420",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,"1,020,233",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,"110,038",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,"107,548",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,"99,709",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,"120,885",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,"105,370",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,"101,590",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,"68,342",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,"70,403",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,"90,759",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,"79,163",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,"66,426",%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,"137,555",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,"11,009",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,"13,006",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,"14,927",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,"14,417",UC / Single Minors,all,Title 8
